Note Name,Parent Node,Category,Connections,Description
Work Process Schedule Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Competency Standards,"""[[Apprenticeship]], [[Work Process]], [[Labor Standards]]""","""Standards for modern apprenticeship program scheduling."""
Kirkpatrick-Phillips Model (Evaluation),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Evaluation Frameworks,"""[[Kirkpatrick]], [[Phillips]], [[ROI]]""","""Five levels of evaluation including ROI."""
CIPP Model,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Evaluation Frameworks,"""[[Stufflebeam]], [[CIPP]], [[Process Evaluation]]""","""Context, Input, Process, Product evaluation framework."""
Brinkerhoff Success Case Method,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Evaluation Frameworks,"""[[Brinkerhoff]], [[Success Case]], [[Evaluation]]""","""Method for identifying high-performing outliers in training."""
Kaufman's Five Levels of Evaluation,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Evaluation Frameworks,"""[[Kaufman]], [[Evaluation]], [[Societal Impact]]""","""Evaluation model including societal and organizational impact."""
Anderson's Value of Learning,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Evaluation Frameworks,"""[[Anderson]], [[Learning Value]], [[Business Impact]]""","""Model focused on linking learning value to business outcomes."""
Learning Transfer System Inventory (LTSI),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Evaluation Frameworks,"""[[LTSI]], [[Learning Transfer]], [[Evaluation]]""","""Inventory for identifying transfer barriers in the workplace."""
Bloom's Taxonomy Assessment Alignment,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Standards,"""[[Bloom]], [[Alignment]], [[Summative Assessment]]""","""Mapping assessment items to cognitive taxonomy levels."""
Webb's Depth of Knowledge (DOK),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Standards,"""[[DOK]], [[Assessment]], [[Cognitive Rigor]]""","""Framework for identifying the cognitive rigor of assessments."""
SOLO Taxonomy,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Standards,"""[[SOLO]], [[Assessment]], [[Cognitive Rigor]]""","""Structure of Observed Learning Outcomes for evaluation."""
Fink's Taxonomy of Significant Learning,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Standards,"""[[Fink]], [[Significant Learning]], [[Design]]""","""Framework for creating holistic learning experiences."""
ANSI/ISO/IEC 17024,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Credentialing,"""[[ISO]], [[Certification]], [[Personnel]]""","""General requirements for bodies operating certification of persons."""
NCCA Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Credentialing,"""[[NCCA]], [[Accreditation]], [[Certification]]""","""Standards for the accreditation of certification programs."""
ANAB Accreditation (Personnel),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Credentialing,"""[[ANAB]], [[Accreditation]], [[Certification]]""","""Standards for personnel certification program accreditation."""
ICE Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Credentialing,"""[[ICE]], [[Credentialing]], [[Testing]]""","""Standards from the Institute for Credentialing Excellence."""
Cronbach's Alpha (Reliability),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Psychometrics,"""[[Psychometrics]], [[Reliability]], [[Internal Consistency]]""","""Standard for measuring the internal consistency of a test."""
Kuder-Richardson Formula 20 (KR-20),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Psychometrics,"""[[Psychometrics]], [[Reliability]], [[KR-20]]""","""Reliability coefficient for tests with dichotomous items."""
Cohen's Kappa (Reliability),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Psychometrics,"""[[Psychometrics]], [[Inter-rater]], [[Reliability]]""","""Standard for measuring inter-rater reliability."""
Item Difficulty Index Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Psychometrics,"""[[Psychometrics]], [[p-values]], [[Item Analysis]]""","""Standards for item difficulty p-values in test analysis."""
Item Discrimination Index Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Psychometrics,"""[[Psychometrics]], [[Item Analysis]], [[Validity]]""","""Standards for determining how well items differentiate learners."""
Rasch Measurement Model,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Psychometrics,"""[[Psychometrics]], [[Rasch]], [[IRT]]""","""Mathematical model for analyzing assessment item performance."""
Differential Item Functioning (DIF) Analysis,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Psychometrics,"""[[DIF]], [[Fairness]], [[Item Bias]]""","""Analysis methodology for identifying item bias across groups."""
AAHE Assessment Forum Principles,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Portfolio Assessment,"""[[AAHE]], [[Portfolio]], [[Higher Ed]]""","""Core principles for high-quality assessment practice."""
NILOA Assignment Library Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Portfolio Assessment,"""[[NILOA]], [[Assignments]], [[Alignment]]""","""Standards for aligning assignments with learning outcomes."""
AAC&U VALUE Rubrics,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Portfolio Assessment,"""[[VALUE]], [[Rubrics]], [[Authentic Assessment]]""","""Valid Assessment of Learning in Undergraduate Education rubrics."""
Danielson Framework,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Portfolio Assessment,"""[[Danielson]], [[Professional Practice]], [[Evaluation]]""","""Framework for evaluating professional teaching practice."""
Net Promoter Score (NPS) methodology,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Survey & Feedback,"""[[NPS]], [[Satisfaction]], [[Survey]]""","""Standard methodology for measuring learner recommendation rates."""
System Usability Scale (SUS),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Survey & Feedback,"""[[SUS]], [[Usability]], [[UX]]""","""Standard scale for measuring the usability of training systems."""
NASA Task Load Index,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Survey & Feedback,"""[[NASA-TLX]], [[Cognitive Load]], [[Workload]]""","""Weighted index for measuring mental workload and demand."""
SUMI,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Survey & Feedback,"""[[SUMI]], [[Software Usability]], [[Inventory]]""","""Software Usability Measurement Inventory for platforms."""
AttrakDiff,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Survey & Feedback,"""[[AttrakDiff]], [[User Experience]], [[UX]]""","""Methodology for measuring perceived user experience."""
UMUX,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Survey & Feedback,"""[[UMUX]], [[Usability]], [[UX]]""","""Usability Metric for User Experience for rapid assessment."""
ISO 15489,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Record-Keeping,"""[[ISO]], [[Records Management]]""","""International standard for managing records."""
ISO 30300/30301,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Record-Keeping,"""[[ISO]], [[Records Systems]]""","""Standards for management systems for records."""
DoD 5015.02-STD,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Record-Keeping,"""[[DOD]], [[Electronic Records]], [[Compliance]]""","""DoD standard for electronic records management systems."""
MoReq,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Record-Keeping,"""[[MoReq]], [[European]], [[Electronic Records]]""","""Model Requirements for Electronic Records Management."""
IACET CEU Standard,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Continuing Education,"""[[IACET]], [[CEU]], [[Contact Hours]]""","""Definition of the Continuing Education Unit (0.1 CEU = 1 hour)."""
ACCME CME Standards (Post-Training),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Continuing Education,"""[[ACCME]], [[CME]], [[Medical Ed]]""","""Standards for medical continuing education providers."""
AMA PRA Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Continuing Education,"""[[AMA]], [[Physician Recognition]], [[CME]]""","""Physician Recognition Award standards for continuing education."""
ACPE Standards (Continuing Ed),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Continuing Education,"""[[ACPE]], [[Pharmacy]], [[CPE]]""","""Standards for pharmacy continuing education."""
AICPA CPE Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Continuing Education,"""[[AICPA]], [[Accounting]], [[CPE]]""","""Standards for accounting continuing education."""
MCLE Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Continuing Education,"""[[MCLE]], [[Legal]], [[Bar Assoc]]""","""Mandatory Continuing Legal Education standards for attorneys."""
ASHA CEU Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Continuing Education,"""[[ASHA]], [[Speech-Language]], [[CEU]]""","""Standards for speech-language pathology continuing education."""
APA CE Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Continuing Education,"""[[APA]], [[Psychology]], [[Continuing Ed]]""","""Standards for psychology continuing education."""
Open Badges 2.0/3.0 Specification,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Digital Badges,"""[[IMS Global]], [[Open Badges]], [[Metadata]]""","""Technical specification for verifiable digital credentials."""
CLR Standard (Post-Training),GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Digital Badges,"""[[IMS Global]], [[CLR]], [[Transcript]]""","""Comprehensive Learner Record technical standard."""
Digital Promise Micro-credential Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Digital Badges,"""[[Digital Promise]], [[Micro-credentials]]""","""Standards for competency-based micro-credentials."""
Aurora Institute CBE Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Digital Badges,"""[[Aurora]], [[CBE]], [[Competency]]""","""Standards for competency-based education models."""
ISO/IEC 20748 Series,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Learning Analytics,"""[[ISO]], [[Analytics]], [[Interoperability]]""","""International standards for learning analytics interoperability."""
xAPI Profiles (Analytics),GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Learning Analytics,"""[[xAPI]], [[Analytics]], [[Vocabularies]]""","""Profiles specifically designed for tracking analytics events."""
IMS Caliper Analytics (Event Tracking),GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Learning Analytics,"""[[IMS Global]], [[Caliper]], [[Event Tracking]]""","""Event tracking standards for learning analytics."""
ADL Experience Index (xAPI) Standards,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Learning Analytics,"""[[ADL]], [[xAPI]], [[Experience Index]]""","""Standards for activity indexing within xAPI ecosystems."""
ISO 30401:2018,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Knowledge Management,"""[[ISO]], [[Knowledge Management]], [[KMS]]""","""International standard for knowledge management systems."""
APQC Knowledge Management Framework,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Knowledge Management,"""[[APQC]], [[Knowledge Management]], [[KMS]]""","""Leading industry framework for knowledge management."""
Nonaka & Takeuchi SECI Model,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Knowledge Management,"""[[SECI]], [[Knowledge Creation]], [[ID Model]]""","""Model for knowledge creation and transfer within organizations."""
ISO 9001:2015 (Training Quality),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Quality Management,"""[[ISO]], [[Quality Management]], [[Training Quality]]""","""Application of ISO 9001 to training management processes."""
Malcolm Baldrige Education Criteria,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Quality Management,"""[[Baldrige]], [[Quality]], [[Education]]""","""Criteria for performance excellence in educational organizations."""
EFQM Excellence Model,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Quality Management,"""[[EFQM]], [[Excellence]], [[Quality Model]]""","""European quality framework for organizational excellence."""
Six Sigma DMAIC/DMADV (Training Improvement),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Quality Management,"""[[Six Sigma]], [[DMAIC]], [[Improvement]]""","""Methodologies for structured training process improvement."""
Lean Standards (Training),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Quality Management,"""[[Lean]], [[Process Improvement]], [[Efficiency]]""","""Application of Lean principles to reduce waste in training."""
PDCA Cycle (Deming),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Quality Management,"""[[PDCA]], [[Deming]], [[Continuous Improvement]]""","""Plan-Do-Check-Act methodology for process cycles."""
Kaizen Continuous Improvement Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Quality Management,"""[[Kaizen]], [[Continuous Improvement]], [[Culture]]""","""Standards for sustaining continuous improvement culture."""
Systematic Curriculum Review Models (Diamond),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Curriculum Revision,"""[[Diamond]], [[Curriculum Review]], [[Maintenance]]""","""Models for the periodic review of training curricula."""
Backward Design Model (Wiggins & McTighe),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Curriculum Revision,"""[[Backward Design]], [[Curriculum]], [[Design Phase]]""","""Designing curriculum by starting with intended outcomes."""
Content Decay Analysis Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Curriculum Revision,"""[[Content Decay]], [[Maintenance]], [[Validity]]""","""Standards for identifying subject matter half-life."""
SME Review Protocols,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Curriculum Revision,"""[[SME]], [[Review]], [[Maintenance]]""","""Standards for structured subject matter expert reviews."""
Delphi Method (Curriculum Update),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Curriculum Revision,"""[[Delphi]], [[Expert Consensus]], [[Maintenance]]""","""Consensus methodology for identifying curriculum updates."""
Job/Task Analysis Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Curriculum Revision,"""[[JTA]], [[Task Analysis]], [[Analysis Phase]]""","""Standards for identifying training needs through task analysis."""
Critical Incident Technique,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Curriculum Revision,"""[[CIT]], [[Needs Analysis]], [[Maintenance]]""","""Methodology for identifying training needs via incident review."""
ISO/IEC 12207 (E-Learning Adaptation),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Version Control,"""[[ISO]], [[Software Lifecycle]], [[Version Control]]""","""Software life cycle processes adapted for e-learning."""
Semantic Versioning (SemVer),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Version Control,"""[[SemVer]], [[Version Control]], [[Release Management]]""","""Content and software version numbering standards."""
ITIL Change Management (Learning Systems),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Version Control,"""[[ITIL]], [[Change Management]], [[Learning Systems]]""","""Application of ITIL change control to training platforms."""
Git/GitHub Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Version Control,"""[[Git]], [[Collaborative Development]], [[Documentation]]""","""Standards for collaborative development of training content."""
ISO 20000 (LMS Changes),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Version Control,"""[[ISO]], [[Service Management]], [[LMS Change]]""","""IT service management standards applied to LMS platform changes."""
SCORM Conformance Test Suite,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Obsolescence,"""[[ADL]], [[SCORM]], [[Testing]]""","""Suite for testing backward compatibility of SCORM packages."""
xAPI Conformance Test Suite,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Obsolescence,"""[[ADL]], [[xAPI]], [[Testing]]""","""Suite for testing the technical compliance of xAPI implementations."""
Learning Technology Sunset Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Obsolescence,"""[[Sunsetting]], [[Lifecycle]], [[Platform Mgmt]]""","""Frameworks for decommissioning legacy learning technology."""
PMBOK Guide,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Program Management,"""[[PMI]], [[PMBOK]], [[Project Management]]""","""Global project management body of knowledge standards."""
PRINCE2,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Program Management,"""[[PRINCE2]], [[Project Management]], [[Governance]]""","""Projects IN Controlled Environments methodology."""
APM Body of Knowledge,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Program Management,"""[[APM]], [[Project Management]], [[UK Standard]]""","""UK-based project management standards often used in US training."""
ISO 21500,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Program Management,"""[[ISO]], [[Project Management]], [[Guidance]]""","""International guidance standards for project management."""
Agile Practice Guide (PMI),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Program Management,"""[[PMI]], [[Agile]], [[Project Management]]""","""Standards for applying agile methods to project management."""
Scrum Guide,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Program Management,"""[[Scrum]], [[Agile]], [[Framework]]""","""The official guide to the Scrum agile framework."""
Kanban Method,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Program Management,"""[[Kanban]], [[Workflow]], [[Management]]""","""Standards for visual workflow and capacity management."""
ISO 31000,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Risk Management,"""[[ISO]], [[Risk Management]], [[Governance]]""","""International standard for risk management principles."""
COSO ERM Framework,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Risk Management,"""[[COSO]], [[Enterprise Risk]], [[Finance]]""","""Enterprise Risk Management framework often used in finance training."""
FAIR (Risk Standard),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Risk Management,"""[[FAIR]], [[Information Risk]], [[Quantification]]""","""Factor Analysis of Information Risk standard."""
FMEA (Training Systems),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Risk Management,"""[[FMEA]], [[Failure Modes]], [[Risk Management]]""","""Failure Modes and Effects Analysis applied to training systems."""
ISO/IEC 27001,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Information Security,"""[[ISO]], [[Security Management]], [[Compliance]]""","""Standard for information security management systems."""
ISO/IEC 27002,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Information Security,"""[[ISO]], [[Security Controls]], [[Compliance]]""","""Standard for information security control practices."""
ISO/IEC 27017,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Information Security,"""[[ISO]], [[Cloud Security]], [[Compliance]]""","""Security controls for cloud-based training platforms."""
ISO/IEC 27018,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Information Security,"""[[ISO]], [[Cloud Privacy]], [[PII]]""","""Protection of PII in public cloud training environments."""
NIST Cybersecurity Framework (LMS),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Information Security,"""[[NIST]], [[LMS]], [[Cybersecurity]]""","""NIST framework applied to training and LMS platforms."""
NIST SP 800 Series,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Information Security,"""[[NIST]], [[Security Standards]], [[Compliance]]""","""Various specialized security standards for federal systems."""
CIS Controls,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Information Security,"""[[CIS]], [[Security Controls]], [[Cybersecurity]]""","""Center for Internet Security critical security controls."""
PCI DSS (Training Systems),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Information Security,"""[[PCI DSS]], [[Payment Data]], [[Compliance]]""","""Standards for training systems involving payment processing."""
SOC 2 Type II (LMS Vendors),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Information Security,"""[[SOC 2]], [[Vendors]], [[Security Audit]]""","""Service Organization Controls standards for LMS vendors."""
FedRAMP (Security Standard),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Information Security,"""[[FedRAMP]], [[Cloud Security]], [[Government]]""","""Federal cloud security standards for government training."""
CMMC,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Information Security,"""[[CMMC]], [[Defense]], [[Cybersecurity]]""","""Cybersecurity Maturity Model Certification for contractors."""
ISO/IEC 29100,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Standards,"""[[ISO]], [[Privacy Framework]], [[Data Privacy]]""","""International privacy framework for processing data."""
ISO/IEC 27701,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Standards,"""[[ISO]], [[Privacy Management]], [[Compliance]]""","""Privacy extension to ISO 27001."""
NIST Privacy Framework,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Standards,"""[[NIST]], [[Privacy]], [[Risk Management]]""","""Framework for managing privacy risk in learning systems."""
GDPR Standards (Best Practice),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Standards,"""[[GDPR]], [[EU]], [[Data Protection]]""","""EU data protection standards often adopted as global best practice."""
COPPA Safe Harbor,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Standards,"""[[COPPA]], [[Children]], [[Data Privacy]]""","""Children's Online Privacy Protection standards."""
FERPA Compliance Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Standards,"""[[FERPA]], [[Student Records]], [[Education]]""","""Technical standards for educational record privacy."""
Student Privacy Pledge,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Privacy Standards,"""[[Privacy Pledge]], [[Student Data]], [[Industry]]""","""Industry-led commitment to student data privacy."""
ISO 22301,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Business Continuity,"""[[ISO]], [[Continuity Management]], [[Resilience]]""","""International standard for business continuity management."""
NFPA 1600,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Business Continuity,"""[[NFPA]], [[Emergency Management]], [[Disaster Recovery]]""","""Standard for disaster and emergency management."""
BCI Good Practice Guidelines,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Business Continuity,"""[[BCI]], [[Best Practice]], [[Continuity]]""","""Good practice guidelines from the Business Continuity Institute."""
ISO 14001,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sustainability,"""[[ISO]], [[Environmental Mgmt]], [[Operations]]""","""Environmental management standards for training operations."""
LEED Standards (Training Facilities),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sustainability,"""[[LEED]], [[Green Building]], [[Facilities]]""","""Green building standards for training environments."""
Carbon Footprint Standards (Training),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sustainability,"""[[Carbon Footprint]], [[Travel]], [[Sustainability]]""","""Standards for measuring training-related carbon impact."""
GRI Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sustainability,"""[[GRI]], [[Reporting]], [[Sustainability]]""","""Global Reporting Initiative standards for sustainability reporting."""
ATD Code of Ethics,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Ethics & Conduct,"""[[ATD]], [[Ethics]], [[Code of Conduct]]""","""Association for Talent Development ethical standards."""
ISPI Code of Ethics,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Ethics & Conduct,"""[[ISPI]], [[Ethics]], [[Performance Improvement]]""","""Ethics for performance improvement professionals."""
ACM Code of Ethics,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Ethics & Conduct,"""[[ACM]], [[Computing]], [[IT Training]]""","""Code of ethics for computing professionals in technical training."""
IEEE Code of Ethics,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Ethics & Conduct,"""[[IEEE]], [[Engineering]], [[Ethics]]""","""Code of ethics for engineers and technical trainers."""
APA Ethical Principles,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Ethics & Conduct,"""[[APA]], [[Psychology]], [[Behavioral Training]]""","""Ethical principles for behavioral and psychological training."""
SHRM Code of Ethics,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Ethics & Conduct,"""[[SHRM]], [[HR]], [[Ethics]]""","""Code of ethics for HR professionals in development."""
ISO/IEC 19770,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Vendor/Supplier,"""[[ISO]], [[Asset Management]], [[Software]]""","""Software asset management standards for training tools."""
ISO/IEC 20000 (Vendor LMS),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Vendor/Supplier,"""[[ISO]], [[Service Management]], [[Vendor LMS]]""","""IT service management standards for vendor-hosted LMS."""
SLA Standards Frameworks,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Vendor/Supplier,"""[[SLA]], [[Contracts]], [[Performance]]""","""Frameworks for defining Service Level Agreements."""
Vendor Risk Management Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Vendor/Supplier,"""[[Vendor Risk]], [[Risk Management]], [[Security]]""","""Standards for evaluating and managing vendor security risk."""
AMA Standards for Physician Training,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Healthcare (Addl),"""[[AMA]], [[Physician]], [[Medical Ed]]""","""American Medical Association standards for physician training."""
AAMC Graduation Questionnaire Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Healthcare (Addl),"""[[AAMC]], [[Medical Ed]], [[Survey]]""","""Assessment and feedback standards for medical schools."""
NBME Assessment Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Healthcare (Addl),"""[[NBME]], [[Medical Ed]], [[Assessment]]""","""Standards for national board medical examinations."""
USMLE Content Outline,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Healthcare (Addl),"""[[USMLE]], [[Medical Licensing]], [[SME Outline]]""","""Content standards for medical licensing exams."""
COMLEX Blueprint,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Healthcare (Addl),"""[[Osteopathic]], [[Medical Licensing]], [[Blueprint]]""","""Blueprint for osteopathic medical licensing examinations."""
NCSBN NCLEX Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Healthcare (Addl),"""[[Nursing]], [[NCLEX]], [[Licensure]]""","""Standards for nursing licensure examinations."""
OSATS Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Healthcare (Addl),"""[[Surgical Skills]], [[Assessment]], [[OSATS]]""","""Objective Structured Assessment of Technical Skills standards."""
Mini-CEX Standards (Healthcare),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Healthcare (Addl),"""[[Clinical Evaluation]], [[Mini-CEX]], [[Assessment]]""","""Standards for mini-clinical evaluation exercises."""
ACLS Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Healthcare (Addl),"""[[AHA]], [[ACLS]], [[Cardiac Life Support]]""","""Advanced Cardiac Life Support training standards from AHA."""
PALS Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Healthcare (Addl),"""[[AHA]], [[PALS]], [[Pediatric Support]]""","""Pediatric Advanced Life Support training standards."""
BLS Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Healthcare (Addl),"""[[AHA]], [[BLS]], [[Basic Life Support]]""","""Basic Life Support training standards."""
ATLS Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Healthcare (Addl),"""[[ATLS]], [[Trauma Life Support]], [[Healthcare]]""","""Advanced Trauma Life Support training standards."""
